"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6946","product detail page has Add to Cart button","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","9359","TC_CHK_06 - valid info proceeds to step 2","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","7540","TC_NAV_05 - sidebar shows all four links","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","9043","TC_VIS_05 - inventory page has correct document title","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","8563","TC_CHK_12 - order complete page shows dispatch confirmation text","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","7427","TC_VIS_08 - cart icon has a navigable anchor tag","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","7399","TC_E2E_13 - user can log out from inventory","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","9015","cart item shows product name","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","7016","TC_CHK_14 - cancel on step 2 returns to inventory","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","5889","TC_VIS_06 - all product images have non-empty alt attributes","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","7555","TC_CHK_10 - Finish navigates to order complete page","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6196","added product appears in cart","chromium","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","11948","TC_USR_02 - standard_user can add all items to cart without errors","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","5807","inventory page shows 6 products by default","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","3766","TC_USR_01 - standard_user logs in and sees Products page","chromium","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","5643","adding a product shows badge count of 1","chromium","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","9046","TC_CHK_15 - pony express image visible on order complete","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","4446","invalid credentials shows error message","webkit","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","9395","TC_NAV_13 - cart badge count increments correctly","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","5919","TC_E2E_02 - sort products by price low to high in correct order","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","10332","TC_CHK_11 - order complete page shows Thank You header","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","10628","TC_USR_09 - performance_glitch_user logs in (may be slow)","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","3920","TC_USR_06 - locked_out_user stays on login page","chromium","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","7964","checkout button navigates to checkout step one","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","0","TC_USR_08 - problem_user sees products listed on inventory page","chromium","2026-05-28","skipped","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","9260","TC_VIS_11 - product items visible on mobile viewport (375×667)","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","12744","invalid credentials shows error message","chromium","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","5620","adding a product shows badge count of 1","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","4522","TC_USR_07 - problem_user can log in and reach inventory","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","16024","TC_E2E_15 - checkout with all 6 items shows correct count on overview","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4418","TC_VIS_02 - login page logo text is ""Swag Labs""","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","4898","TC_USR_14 - visual_user sees Products title on inventory","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","13371","TC_E2E_07 - complete checkout with valid shipping info","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4102","TC_VIS_03 - username and password fields have placeholder text","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
